CSI 300 Index,CSI 500 Index,CSI 800 index
600028.XSHG,600143.XSHG,600352.XSHG
601360.XSHG,600764.XSHG,600377.XSHG
600233.XSHG,603156.XSHG,600515.XSHG
601888.XSHG,600754.XSHG,600109.XSHG
601699.XSHG,603868.XSHG,688297.XSHG
688111.XSHG,603218.XSHG,002202.XSHE
000166.XSHE,601179.XSHG,600115.XSHG
002601.XSHE,000636.XSHE,600999.XSHG
300059.XSHE,300357.XSHE,601916.XSHG
002493.XSHE,600258.XSHG,002608.XSHE
000800.XSHE,600859.XSHG,600018.XSHG
300496.XSHE,601077.XSHG,600061.XSHG
688187.XSHG,002791.XSHE,601319.XSHG
000625.XSHE,300146.XSHE,688525.XSHG
300408.XSHE,300390.XSHE,002690.XSHE
601377.XSHG,600339.XSHG,000778.XSHE
002050.XSHE,600481.XSHG,002340.XSHE
600958.XSHG,600977.XSHG,601878.XSHG
000568.XSHE,601098.XSHG,301269.XSHE
600309.XSHG,601665.XSHG,300763.XSHE
002841.XSHE,688387.XSHG,601988.XSHG
600085.XSHG,688390.XSHG,000519.XSHE
000938.XSHE,688617.XSHG,000898.XSHE
002304.XSHE,002595.XSHE,000937.XSHE
600183.XSHG,300253.XSHE,002074.XSHE
601088.XSHG,601933.XSHG,002487.XSHE
603288.XSHG,689009.XSHG,002506.XSHE
601117.XSHG,600315.XSHG,600000.XSHG
000895.XSHE,002407.XSHE,600143.XSHG
000001.XSHE,300058.XSHE,600764.XSHG
000776.XSHE,301165.XSHE,601788.XSHG
600803.XSHG,600170.XSHG,603156.XSHG
600009.XSHG,603056.XSHG,600754.XSHG
600219.XSHG,688536.XSHG,603868.XSHG
600999.XSHG,002120.XSHE,000538.XSHE
601995.XSHG,002155.XSHE,601328.XSHG
002142.XSHE,003022.XSHE,603218.XSHG
601989.XSHG,300017.XSHE,601179.XSHG
601916.XSHG,603728.XSHG,688303.XSHG
002648.XSHE,000830.XSHE,000636.XSHE
603296.XSHG,603127.XSHG,300357.XSHE
000977.XSHE,600004.XSHG,600258.XSHG
300433.XSHE,000537.XSHE,600859.XSHG
600887.XSHG,000630.XSHE,002241.XSHE
601881.XSHG,000831.XSHE,601077.XSHG
601238.XSHG,000878.XSHE,002791.XSHE
000301.XSHE,000987.XSHE,601111.XSHG
688271.XSHG,002153.XSHE,688082.XSHG
601229.XSHG,002240.XSHE,300146.XSHE
000596.XSHE,002408.XSHE,300390.XSHE
600050.XSHG,002508.XSHE,600016.XSHG
601398.XSHG,002607.XSHE,600332.XSHG
601236.XSHG,002683.XSHE,600339.XSHG
688599.XSHG,300114.XSHE,600460.XSHG
601618.XSHG,300136.XSHE,600481.XSHG
002236.XSHE,300212.XSHE,600977.XSHG
002241.XSHE,300296.XSHE,601098.XSHG
600760.XSHG,300383.XSHE,601665.XSHG
601225.XSHG,300438.XSHE,601998.XSHG
600115.XSHG,300803.XSHE,688387.XSHG
000983.XSHE,301029.XSHE,688390.XSHG
000100.XSHE,600350.XSHG,688617.XSHG
688009.XSHG,600416.XSHG,300347.XSHE
002180.XSHE,600563.XSHG,002595.XSHE
601766.XSHG,600808.XSHG,300253.XSHE
688396.XSHG,600827.XSHG,601933.XSHG
688223.XSHG,600885.XSHG,688396.XSHG
601006.XSHG,601456.XSHG,689009.XSHG
002938.XSHE,601636.XSHG,600315.XSHG
300999.XSHE,601717.XSHG,000876.XSHE
600438.XSHG,603185.XSHG,002407.XSHE
301269.XSHE,603882.XSHG,300058.XSHE
000408.XSHE,688002.XSHG,301165.XSHE
000807.XSHE,688248.XSHG,600089.XSHG
600519.XSHG,688567.XSHG,600170.XSHG
601138.XSHG,688778.XSHG,603056.XSHG
601857.XSHG,603317.XSHG,688536.XSHG
601818.XSHG,603298.XSHG,000776.XSHE
300033.XSHE,600066.XSHG,002120.XSHE
600362.XSHG,603338.XSHG,002460.XSHE
601600.XSHG,300699.XSHE,601211.XSHG
605499.XSHG,002865.XSHE,600415.XSHG
600188.XSHG,688349.XSHG,002155.XSHE
300661.XSHE,600862.XSHG,003022.XSHE
000725.XSHE,688200.XSHG,300017.XSHE
600161.XSHG,688276.XSHG,601288.XSHG
601939.XSHG,688375.XSHG,603728.XSHG
603260.XSHG,688475.XSHG,600926.XSHG
600600.XSHG,600060.XSHG,000830.XSHE
002475.XSHE,002568.XSHE,603127.XSHG
601800.XSHG,002353.XSHE,300122.XSHE
300751.XSHE,600511.XSHG,600004.XSHG
601288.XSHG,601108.XSHG,300059.XSHE
600547.XSHG,601577.XSHG,000895.XSHE
601988.XSHG,688122.XSHG,601816.XSHG
601009.XSHG,002281.XSHE,603288.XSHG
600938.XSHG,002518.XSHE,002001.XSHE
600061.XSHG,600418.XSHG,000001.XSHE
601319.XSHG,600582.XSHG,000537.XSHE
600019.XSHG,601615.XSHG,000630.XSHE
000733.XSHE,603650.XSHG,000831.XSHE
601012.XSHG,300567.XSHE,000878.XSHE
300919.XSHE,002572.XSHE,000987.XSHE
601838.XSHG,300073.XSHE,001289.XSHE
601021.XSHG,300285.XSHE,002153.XSHE
000963.XSHE,600141.XSHG,002240.XSHE
300015.XSHE,600380.XSHG,002408.XSHE
000858.XSHE,603883.XSHG,002508.XSHE
300142.XSHE,600901.XSHG,002603.XSHE
600372.XSHG,002044.XSHE,002607.XSHE
600489.XSHG,002756.XSHE,002683.XSHE
601689.XSHG,300604.XSHE,300114.XSHE
600196.XSHG,301358.XSHE,300136.XSHE
600332.XSHG,600131.XSHG,300212.XSHE
600941.XSHG,600329.XSHG,300296.XSHE
002736.XSHE,600998.XSHG,300383.XSHE
300442.XSHE,601156.XSHG,300418.XSHE
601877.XSHG,601567.XSHG,300438.XSHE
002027.XSHE,601666.XSHG,300803.XSHE
601668.XSHG,603885.XSHG,300999.XSHE
601816.XSHG,000401.XSHE,301029.XSHE
601658.XSHG,000423.XSHE,600111.XSHG
600919.XSHG,000539.XSHE,600350.XSHG
000617.XSHE,000967.XSHE,600416.XSHG
603259.XSHG,001872.XSHE,600563.XSHG
600132.XSHG,300118.XSHE,600808.XSHG
300782.XSHE,300144.XSHE,600827.XSHG
000661.XSHE,300558.XSHE,600885.XSHG
002555.XSHE,300568.XSHE,601360.XSHG
600893.XSHG,300724.XSHE,601456.XSHG
600000.XSHG,600282.XSHG,601618.XSHG
601328.XSHG,600498.XSHG,601636.XSHG
002007.XSHE,600655.XSHG,601698.XSHG
300957.XSHE,600763.XSHG,601717.XSHG
601728.XSHG,600879.XSHG,601919.XSHG
601390.XSHG,601958.XSHG,603185.XSHG
002603.XSHE,603589.XSHG,603882.XSHG
601186.XSHG,605358.XSHG,688002.XSHG
603993.XSHG,688006.XSHG,688248.XSHG
002252.XSHE,688065.XSHG,688256.XSHG
600016.XSHG,600801.XSHG,688567.XSHG
688008.XSHG,603979.XSHG,688778.XSHG
600515.XSHG,000932.XSHE,603317.XSHG
601607.XSHG,002064.XSHE,688363.XSHG
600018.XSHG,002465.XSHE,603298.XSHG
300347.XSHE,300012.XSHE,000338.XSHE
600845.XSHG,000921.XSHE,600066.XSHG
002179.XSHE,000703.XSHE,603338.XSHG
000999.XSHE,000997.XSHE,300661.XSHE
603019.XSHG,600873.XSHG,300699.XSHE
601169.XSHG,601231.XSHG,600436.XSHG
601872.XSHG,000729.XSHE,688599.XSHG
601669.XSHG,000400.XSHE,002236.XSHE
300124.XSHE,000738.XSHE,002466.XSHE
600089.XSHG,000785.XSHE,002865.XSHE
002129.XSHE,000887.XSHE,688271.XSHG
601808.XSHG,000960.XSHE,688349.XSHG
600905.XSHG,002409.XSHE,603195.XSHG
601111.XSHG,600096.XSHG,600026.XSHG
600150.XSHG,600985.XSHG,600862.XSHG
600745.XSHG,601168.XSHG,688200.XSHG
601998.XSHG,688114.XSHG,688276.XSHG
600926.XSHG,603606.XSHG,688375.XSHG
603659.XSHG,002444.XSHE,600732.XSHG
601868.XSHG,600546.XSHG,601888.XSHG
002001.XSHE,601598.XSHG,601939.XSHG
600015.XSHG,688052.XSHG,688475.XSHG
603369.XSHG,000683.XSHE,600060.XSHG
002594.XSHE,600535.XSHG,002568.XSHE
600809.XSHG,600765.XSHG,002353.XSHE
300498.XSHE,688281.XSHG,600511.XSHG
601698.XSHG,002262.XSHE,600741.XSHG
688082.XSHG,300054.XSHE,601108.XSHG
688303.XSHG,300037.XSHE,601377.XSHG
600406.XSHG,603939.XSHG,601577.XSHG
600048.XSHG,000598.XSHE,601865.XSHG
000876.XSHE,000998.XSHE,688122.XSHG
601899.XSHG,002028.XSHE,002281.XSHE
600010.XSHG,002372.XSHE,002518.XSHE
600276.XSHG,300070.XSHE,600418.XSHG
603501.XSHG,600098.XSHG,600582.XSHG
603799.XSHG,600299.XSHG,601398.XSHG
605117.XSHG,600348.XSHG,601615.XSHG
300759.XSHE,600378.XSHG,603650.XSHG
600346.XSHG,600497.XSHG,002812.XSHE
600875.XSHG,600500.XSHG,300567.XSHE
002311.XSHE,600755.XSHG,300751.XSHE
601865.XSHG,600895.XSHG,300782.XSHE
600029.XSHG,601965.XSHG,600029.XSHG
600023.XSHG,603087.XSHG,002572.XSHE
000002.XSHE,603233.XSHG,300073.XSHE
300316.XSHE,603688.XSHG,300285.XSHE
601985.XSHG,688005.XSHG,601688.XSHG
688363.XSHG,688029.XSHG,688223.XSHG
002916.XSHE,688331.XSHG,600141.XSHG
300979.XSHE,688521.XSHG,600219.XSHG
600900.XSHG,601128.XSHG,600380.XSHG
600027.XSHG,300748.XSHE,601009.XSHG
300122.XSHE,600699.XSHG,601877.XSHG
000792.XSHE,603658.XSHG,603883.XSHG
300308.XSHE,002223.XSHE,300759.XSHE
601799.XSHG,600129.XSHG,000938.XSHE
600011.XSHG,601966.XSHG,003816.XSHE
601901.XSHG,603529.XSHG,600438.XSHG
603833.XSHG,688169.XSHG,600901.XSHG
300760.XSHE,688772.XSHG,601872.XSHG
300450.XSHE,000739.XSHE,002044.XSHE
688041.XSHG,300682.XSHE,002756.XSHE
003816.XSHE,301267.XSHE,300604.XSHE
001965.XSHE,600325.XSHG,301358.XSHE
600795.XSHG,603517.XSHG,600019.XSHG
600460.XSHG,688295.XSHG,600131.XSHG
002920.XSHE,002507.XSHE,600329.XSHG
002812.XSHE,603786.XSHG,600998.XSHG
601919.XSHG,000513.XSHE,601156.XSHG
300413.XSHE,002563.XSHE,601567.XSHG
002709.XSHE,002831.XSHE,601666.XSHG
603986.XSHG,300395.XSHE,603885.XSHG
300896.XSHE,300601.XSHE,000999.XSHE
002821.XSHE,600566.XSHG,002601.XSHE
300418.XSHE,600580.XSHG,300033.XSHE
002371.XSHE,603486.XSHG,000401.XSHE
002714.XSHE,002299.XSHE,000423.XSHE
300223.XSHE,002430.XSHE,000539.XSHE
600026.XSHG,600298.XSHG,000967.XSHE
001289.XSHE,688301.XSHG,001872.XSHE
600886.XSHG,002850.XSHE,002459.XSHE
002466.XSHE,002368.XSHE,300118.XSHE
600674.XSHG,600079.XSHG,300144.XSHE
002459.XSHE,600166.XSHG,300558.XSHE
688256.XSHG,600399.XSHG,300568.XSHE
600111.XSHG,600642.XSHG,300724.XSHE
601059.XSHG,603712.XSHG,600282.XSHG
600732.XSHG,002078.XSHE,600372.XSHG
002460.XSHE,300251.XSHE,600498.XSHG
600025.XSHG,600398.XSHG,600585.XSHG
002074.XSHE,002436.XSHE,600655.XSHG
300014.XSHE,603444.XSHG,600763.XSHG
688012.XSHG,002025.XSHE,600879.XSHG
,002056.XSHE,601881.XSHG
,002128.XSHE,601958.XSHG
,002738.XSHE,603260.XSHG
,300474.XSHE,603589.XSHG
,600038.XSHG,605358.XSHG
,600549.XSHG,688006.XSHG
,688234.XSHG,688065.XSHG
,600872.XSHG,600085.XSHG
,300001.XSHE,600801.XSHG
,301236.XSHE,600893.XSHG
,603456.XSHG,603979.XSHG
,002439.XSHE,000792.XSHE
,002867.XSHE,000932.XSHE
,002966.XSHE,001965.XSHE
,603305.XSHG,002064.XSHE
,002138.XSHE,300124.XSHE
,002273.XSHE,600030.XSHG
,002739.XSHE,002465.XSHE
,601233.XSHG,300012.XSHE
,000032.XSHE,000921.XSHE
,000060.XSHE,000703.XSHE
,000155.XSHE,000997.XSHE
,000988.XSHE,002129.XSHE
,001203.XSHE,600873.XSHG
,002244.XSHE,601231.XSHG
,002266.XSHE,601658.XSHG
,002429.XSHE,603833.XSHG
,002532.XSHE,000625.XSHE
,003035.XSHE,000729.XSHE
,300861.XSHE,600048.XSHG
,300866.XSHE,002007.XSHE
,600373.XSHG,002916.XSHE
,600392.XSHG,600845.XSHG
,600536.XSHG,603659.XSHG
,600673.XSHG,600588.XSHG
,600867.XSHG,601100.XSHG
,600884.XSHG,688012.XSHG
,600967.XSHG,000400.XSHE
,601139.XSHG,000738.XSHE
,601611.XSHG,000785.XSHE
,603160.XSHG,000887.XSHE
,603707.XSHG,000960.XSHE
,688032.XSHG,002409.XSHE
,688120.XSHG,600023.XSHG
,000933.XSHE,600096.XSHG
,002472.XSHE,600233.XSHG
,603290.XSHG,600985.XSHG
,601058.XSHG,601168.XSHG
,300776.XSHE,601607.XSHG
,600820.XSHG,688114.XSHG
,600988.XSHG,002709.XSHE
,002557.XSHE,603501.XSHG
,002653.XSHE,603606.XSHG
,600499.XSHG,000651.XSHE
,600863.XSHG,002444.XSHE
,600968.XSHG,002555.XSHE
,603225.XSHG,600546.XSHG
,688561.XSHG,600674.XSHG
,002156.XSHE,601598.XSHG
,300003.XSHE,688052.XSHG
,600153.XSHG,000063.XSHE
,600612.XSHG,000683.XSHE
,601991.XSHG,002352.XSHE
,603816.XSHG,300442.XSHE
,603345.XSHG,600535.XSHG
,688777.XSHG,600765.XSHG
,002517.XSHE,688281.XSHG
,600486.XSHG,002262.XSHE
,000066.XSHE,300054.XSHE
,002080.XSHE,300628.XSHE
,002294.XSHE,603019.XSHG
,002624.XSHE,300015.XSHE
,002984.XSHE,300037.XSHE
,300487.XSHE,603939.XSHG
,600483.XSHG,601633.XSHG
,600521.XSHG,000408.XSHE
,601019.XSHG,000598.XSHE
,603228.XSHG,000998.XSHE
,688188.XSHG,002028.XSHE
,002558.XSHE,002372.XSHE
,300394.XSHE,002410.XSHE
,300888.XSHE,002920.XSHE
,002531.XSHE,300070.XSHE
,300502.XSHE,300223.XSHE
,000039.XSHE,300454.XSHE
,300765.XSHE,300832.XSHE
,600062.XSHG,600010.XSHG
,600995.XSHG,600027.XSHG
,601298.XSHG,600098.XSHG
,601928.XSHG,600176.XSHG
,603379.XSHG,600196.XSHG
,603927.XSHG,600299.XSHG
,688385.XSHG,600348.XSHG
,600970.XSHG,600362.XSHG
,300207.XSHE,600378.XSHG
,600529.XSHG,600497.XSHG
,300529.XSHE,600500.XSHG
,600435.XSHG,600755.XSHG
,603596.XSHG,600895.XSHG
,600583.XSHG,601818.XSHG
,002152.XSHE,601868.XSHG
,002373.XSHE,601965.XSHG
,002385.XSHE,603087.XSHG
,688520.XSHG,603233.XSHG
,603179.XSHG,603688.XSHG
,002019.XSHE,603986.XSHG
,603568.XSHG,605117.XSHG
,688213.XSHG,688005.XSHG
,300002.XSHE,688029.XSHG
,603893.XSHG,688331.XSHG
,002384.XSHE,688521.XSHG
,688099.XSHG,002304.XSHE
,688516.XSHG,300760.XSHE
,000021.XSHE,600941.XSHG
,000027.XSHE,601128.XSHG
,000050.XSHE,000977.XSHE
,000563.XSHE,600660.XSHG
,000591.XSHE,300748.XSHE
,000750.XSHE,600699.XSHG
,000883.XSHE,603658.XSHG
,000893.XSHE,300274.XSHE
,001286.XSHE,002223.XSHE
,002203.XSHE,002311.XSHE
,002261.XSHE,600129.XSHG
,002268.XSHE,600406.XSHG
,002414.XSHE,600958.XSHG
,002423.XSHE,601857.XSHG
,300009.XSHE,601966.XSHG
,300373.XSHE,603529.XSHG
,300677.XSHE,688169.XSHG
,600008.XSHG,688772.XSHG
,600021.XSHG,000333.XSHE
,600126.XSHG,000739.XSHE
,600361.XSHG,300682.XSHE
,600528.XSHG,301267.XSHE
,600704.XSHG,600325.XSHG
,600707.XSHG,601600.XSHG
,600737.XSHG,601699.XSHG
,600848.XSHG,603517.XSHG
,601158.XSHG,603799.XSHG
,601399.XSHG,002230.XSHE
,601608.XSHG,002415.XSHE
,601866.XSHG,300014.XSHE
,601992.XSHG,300496.XSHE
,603826.XSHG,300316.XSHE
,688107.XSHG,603806.XSHG
,688153.XSHG,688295.XSHG
,688180.XSHG,002507.XSHE
,688220.XSHG,600050.XSHG
,688819.XSHG,600919.XSHG
,000009.XSHE,603786.XSHG
,000156.XSHE,002594.XSHE
,000559.XSHE,000513.XSHE
,000709.XSHE,002563.XSHE
,000818.XSHE,002831.XSHE
,000825.XSHE,300395.XSHE
,000958.XSHE,300601.XSHE
,001227.XSHE,600566.XSHG
,002065.XSHE,600580.XSHG
,002195.XSHE,601838.XSHG
,002432.XSHE,603486.XSHG
,002670.XSHE,000596.XSHE
,002926.XSHE,600132.XSHG
,002936.XSHE,000725.XSHE
,002939.XSHE,000983.XSHE
,002945.XSHE,002299.XSHE
,002958.XSHE,002430.XSHE
,300088.XSHE,600298.XSHG
,600022.XSHG,601808.XSHG
,600056.XSHG,688301.XSHG
,600177.XSHG,600031.XSHG
,600271.XSHG,601668.XSHG
,600316.XSHG,002475.XSHE
,600369.XSHG,002850.XSHE
,600390.XSHG,000733.XSHE
,600517.XSHG,000768.XSHE
,600663.XSHG,002050.XSHE
,600739.XSHG,002368.XSHE
,600816.XSHG,002841.XSHE
,600839.XSHG,600079.XSHG
,600906.XSHG,600166.XSHG
,600928.XSHG,600399.XSHG
,600959.XSHG,600642.XSHG
,601106.XSHG,600989.XSHG
,601162.XSHG,601390.XSHG
,601198.XSHG,603712.XSHG
,601212.XSHG,605499.XSHG
,601216.XSHG,688041.XSHG
,601228.XSHG,002078.XSHE
,601568.XSHG,300251.XSHE
,601696.XSHG,600398.XSHG
,601858.XSHG,002436.XSHE
,601880.XSHG,600690.XSHG
,601990.XSHG,600905.XSHG
,603000.XSHG,601021.XSHG
,603077.XSHG,601186.XSHG
,603858.XSHG,603444.XSHG
,688172.XSHG,688111.XSHG
,688425.XSHG,603993.XSHG
,688538.XSHG,002025.XSHE
,,002056.XSHE
,,002128.XSHE
,,002738.XSHE
,,300474.XSHE
,,600038.XSHG
,,600161.XSHG
,,600549.XSHG
,,600875.XSHG
,,601336.XSHG
,,601898.XSHG
,,601995.XSHG
,,688234.XSHG
,,600872.XSHG
,,002938.XSHE
,,300498.XSHE
,,002714.XSHE
,,300001.XSHE
,,301236.XSHE
,,600011.XSHG
,,601138.XSHG
,,601766.XSHG
,,603456.XSHG
,,000661.XSHE
,,002439.XSHE
,,002867.XSHE
,,002966.XSHE
,,300413.XSHE
,,600803.XSHG
,,601166.XSHG
,,603305.XSHG
,,002138.XSHE
,,002273.XSHE
,,300896.XSHE
,,688036.XSHG
,,000425.XSHE
,,001979.XSHE
,,002739.XSHE
,,600036.XSHG
,,601233.XSHG
,,601799.XSHG
,,002027.XSHE
,,002648.XSHE
,,000032.XSHE
,,000060.XSHE
,,000155.XSHE
,,000157.XSHE
,,000800.XSHE
,,000807.XSHE
,,000988.XSHE
,,001203.XSHE
,,002244.XSHE
,,002266.XSHE
,,002429.XSHE
,,002532.XSHE
,,003035.XSHE
,,300861.XSHE
,,300866.XSHE
,,600276.XSHG
,,600373.XSHG
,,600392.XSHG
,,600536.XSHG
,,600673.XSHG
,,600867.XSHG
,,600884.XSHG
,,600967.XSHG
,,601139.XSHG
,,601225.XSHG
,,601611.XSHG
,,603160.XSHG
,,603707.XSHG
,,688008.XSHG
,,688009.XSHG
,,688032.XSHG
,,688120.XSHG
,,688981.XSHG
,,000786.XSHE
,,300308.XSHE
,,002142.XSHE
,,000933.XSHE
,,600600.XSHG
,,601088.XSHG
,,601728.XSHG
,,002472.XSHE
,,002493.XSHE
,,300957.XSHE
,,000100.XSHE
,,600887.XSHG
,,603290.XSHG
,,300750.XSHE
,,601058.XSHG
,,002271.XSHE
,,300450.XSHE
,,300776.XSHE
,,600183.XSHG
,,600745.XSHG
,,600820.XSHG
,,002371.XSHE
,,600547.XSHG
,,600795.XSHG
,,600988.XSHG
,,601985.XSHG
,,603899.XSHG
,,002557.XSHE
,,002653.XSHE
,,600039.XSHG
,,600499.XSHG
,,600863.XSHG
,,600968.XSHG
,,601012.XSHG
,,603225.XSHG
,,688561.XSHG
,,000301.XSHE
,,000568.XSHE
,,002156.XSHE
,,002180.XSHE
,,300003.XSHE
,,600153.XSHG
,,600612.XSHG
,,601628.XSHG
,,601991.XSHG
,,603816.XSHG
,,601117.XSHG
,,603345.XSHG
,,688777.XSHG
,,002821.XSHE
,,002517.XSHE
,,600486.XSHG
,,000066.XSHE
,,002080.XSHE
,,002294.XSHE
,,002624.XSHE
,,002984.XSHE
,,300433.XSHE
,,300487.XSHE
,,600483.XSHG
,,600489.XSHG
,,600521.XSHG
,,601019.XSHG
,,601318.XSHG
,,601689.XSHG
,,603228.XSHG
,,603369.XSHG
,,688188.XSHG
,,603259.XSHG
,,000858.XSHE
,,002558.XSHE
,,300394.XSHE
,,600570.XSHG
,,601601.XSHG
,,300888.XSHE
,,300919.XSHE
,,600809.XSHG
,,600519.XSHG
,,002531.XSHE
,,600150.XSHG
,,600886.XSHG
,,601669.XSHG
,,603296.XSHG
,,300502.XSHE
,,600900.XSHG
,,600426.XSHG
,,000039.XSHE
,,300408.XSHE
,,300765.XSHE
,,600062.XSHG
,,600188.XSHG
,,600584.XSHG
,,600995.XSHG
,,601298.XSHG
,,601800.XSHG
,,601899.XSHG
,,601928.XSHG
,,603379.XSHG
,,603927.XSHG
,,688385.XSHG
,,600970.XSHG
,,600028.XSHG
,,300207.XSHE
,,600309.XSHG
,,600529.XSHG
,,300529.XSHE
,,600435.XSHG
,,600760.XSHG
,,603596.XSHG
,,002179.XSHE
,,600025.XSHG
,,600583.XSHG
,,600346.XSHG
,,300979.XSHE
,,002152.XSHE
,,002373.XSHE
,,002385.XSHE
,,688520.XSHG
,,000963.XSHE
,,600938.XSHG
,,603179.XSHG
,,002019.XSHE
,,002049.XSHE
,,603568.XSHG
,,688213.XSHG
,,300002.XSHE
,,603893.XSHG
,,002384.XSHE
,,688099.XSHG
,,688516.XSHG
,,000708.XSHE
,,688187.XSHG
,,000021.XSHE
,,000027.XSHE
,,000050.XSHE
,,000563.XSHE
,,000591.XSHE
,,000617.XSHE
,,000750.XSHE
,,000883.XSHE
,,000893.XSHE
,,001286.XSHE
,,002203.XSHE
,,002252.XSHE
,,002261.XSHE
,,002268.XSHE
,,002414.XSHE
,,002423.XSHE
,,300009.XSHE
,,300373.XSHE
,,300677.XSHE
,,600008.XSHG
,,600021.XSHG
,,600126.XSHG
,,600361.XSHG
,,600528.XSHG
,,600704.XSHG
,,600707.XSHG
,,600737.XSHG
,,600848.XSHG
,,601158.XSHG
,,601399.XSHG
,,601608.XSHG
,,601866.XSHG
,,601989.XSHG
,,601992.XSHG
,,603826.XSHG
,,688107.XSHG
,,688153.XSHG
,,688180.XSHG
,,688220.XSHG
,,688819.XSHG
,,000009.XSHE
,,000156.XSHE
,,000559.XSHE
,,000709.XSHE
,,000818.XSHE
,,000825.XSHE
,,000958.XSHE
,,001227.XSHE
,,002065.XSHE
,,002195.XSHE
,,002432.XSHE
,,002670.XSHE
,,002926.XSHE
,,002936.XSHE
,,002939.XSHE
,,002945.XSHE
,,002958.XSHE
,,300088.XSHE
,,300142.XSHE
,,600022.XSHG
,,600056.XSHG
,,600177.XSHG
,,600271.XSHG
,,600316.XSHG
,,600369.XSHG
,,600390.XSHG
,,600517.XSHG
,,600663.XSHG
,,600739.XSHG
,,600816.XSHG
,,600839.XSHG
,,600906.XSHG
,,600928.XSHG
,,600959.XSHG
,,601059.XSHG
,,601106.XSHG
,,601162.XSHG
,,601198.XSHG
,,601212.XSHG
,,601216.XSHG
,,601228.XSHG
,,601236.XSHG
,,601568.XSHG
,,601696.XSHG
,,601858.XSHG
,,601880.XSHG
,,601990.XSHG
,,603000.XSHG
,,603077.XSHG
,,603858.XSHG
,,688172.XSHG
,,688425.XSHG
,,688538.XSHG
